target,feature_set,model,transformation,fold_idx,r2,rmse,mae
Ni_num,M2_Core_Salinity,Lasso,RAW,11,-0.09585,0.935946,0.77
Ni_num,M2_Core_Salinity,Lasso,RAW,12,0.397436,1.819226,1.282263
Ni_num,M2_Core_Salinity,Lasso,RAW,13,0.383607,2.043142,1.24648
Ni_num,M2_Core_Salinity,Lasso,RAW,14,-0.474196,2.618911,1.775269
Ni_num,M2_Core_Salinity,Lasso,RAW,15,-0.405896,0.727151,0.59988
Ni_num,M2_Core_Salinity,Lasso,RAW,16,-0.069777,2.460372,1.3838
Ni_num,M2_Core_Salinity,Lasso,RAW,17,0.472767,0.890038,0.77501
Ni_num,M2_Core_Salinity,Lasso,RAW,18,0.685696,0.764081,0.613795
Ni_num,M2_Core_Salinity,Lasso,RAW,19,-0.24784,1.179221,0.927468
Ni_num,M2_Core_Salinity,Lasso,RAW,20,0.166537,2.62379,1.840206
Ni_num,M2_Core_Salinity,Lasso,RAW,21,0.080668,0.659078,0.515442
Ni_num,M2_Core_Salinity,Lasso,RAW,22,0.250594,1.897973,1.356383
Ni_num,M2_Core_Salinity,Lasso,RAW,23,0.640311,0.790508,0.685204
Ni_num,M2_Core_Salinity,Lasso,RAW,24,0.305727,2.129531,1.480954
Ni_num,M2_Core_Salinity,Lasso,RAW,25,-0.35826,2.489347,1.455925
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,1,-1.574184,1.57495,1.012622
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,2,0.373812,1.004025,0.809309
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,3,-0.522131,2.790116,1.777724
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,4,0.027763,2.694923,1.823017
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,5,0.897107,0.402883,0.351414
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,6,0.773048,0.548243,0.486523
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,7,0.405678,1.788739,1.191332
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,8,0.039429,2.283703,1.286231
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,9,-1.169431,0.340981,0.311058
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,10,-0.685259,2.68549,1.502912
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,11,0.309625,0.742879,0.569494
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,12,0.505411,1.64819,0.968348
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,13,0.269072,2.224881,1.317037
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,14,-0.63537,2.758362,1.878644
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,15,-1.070261,0.88239,0.750908
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,16,-0.154789,2.556263,1.219457
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,17,0.653367,0.721676,0.641666
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,18,0.876293,0.479359,0.442464
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,19,0.136928,0.980707,0.743395
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,20,0.144456,2.658319,1.801928
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,21,-0.325959,0.791527,0.673842
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,22,0.475635,1.587626,1.0204
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,23,0.520444,0.912772,0.597852
Ni_num,M2_Core_Salinity,HuberRegressor,LOG1P,24,0.050252,2.49071,1.732659
