target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,LOG1P,40,-0.3939,-0.1588,0.4929,0.9395,0.6326,-0.0076,1,4.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,RAW,40,-1.5777,-0.2404,2.7987,1.0297,0.7518,0.1909,4,16.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,LOG1P,40,-0.8375,-0.2329,1.5631,0.9766,0.6637,0.2829,5,20.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,ElasticNet,RAW,40,-1.3182,-0.2153,2.1284,1.0096,0.7469,0.0842,3,12.0
Mn_num,E2,E2_Min3_Field_Plus_Depth,3,ElasticNet,LOG1P,40,-0.4232,-0.1934,0.6061,0.9359,0.6337,0.2236,5,20.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,SVR_RBF,RAW,40,-0.7333,-0.2601,1.6895,0.987,0.6373,0.1634,3,12.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,SVR_RBF,LOG1P,40,-0.9808,-0.3287,2.3185,1.0087,0.6626,0.1391,2,8.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,PLS,RAW,40,-1.5481,-0.2387,2.7066,1.0268,0.7464,0.2008,5,20.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,PLS,LOG1P,40,-0.7417,-0.2177,1.3079,0.9655,0.651,0.2956,7,28.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Lasso,RAW,40,-1.1559,-0.1912,1.8243,0.9929,0.7373,0.0246,3,12.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Lasso,LOG1P,40,-0.381,-0.1627,0.489,0.9365,0.6298,0.0313,3,12.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Ridge,RAW,40,-1.5793,-0.2618,2.7718,1.0292,0.7544,0.1751,5,20.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Ridge,LOG1P,40,-0.8243,-0.233,1.5172,0.9742,0.6624,0.2727,5,20.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,ElasticNet,RAW,40,-1.2962,-0.1914,2.1044,1.0052,0.7423,0.1151,4,16.0
Mn_num,E3,E3_Min4_Field_Depth_LogSalinity,4,ElasticNet,LOG1P,40,-0.4136,-0.1913,0.6097,0.9327,0.6303,0.2329,5,20.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,SVR_RBF,RAW,40,-0.4805,-0.2916,0.9941,0.9635,0.6187,0.218,5,20.0
