target,feature_set,model,raw_r2,log1p_r2,delta_r2,raw_rmse,log1p_rmse,delta_rmse,raw_spearman_rho,log1p_spearman_rho,delta_spearman_rho
Fe_num,Set A (FULL),ElasticNet,-33.76413471190102,-2.188258554196048,31.575876157704975,3.6379795870562033,2.7325802473193925,-0.9053993397368107,-0.15535437889411166,0.07702049823192371,0.23237487712603538
Fe_num,Set A (FULL),ExtraTrees,-47.480169011772894,-8.223644997033457,39.25652401473944,3.49436865335588,2.8679400622915243,-0.6264285910643559,-0.17618087171687302,-0.026080022543818263,0.15010084917305477
Fe_num,Set A (FULL),GradientBoosting,-75.61104071203751,-15.016785571096472,60.59425514094104,4.23805232520021,2.986144184894727,-1.2519081403054826,-0.16848820319675395,0.008161733673784852,0.17664993687053882
Fe_num,Set A (FULL),Lasso,-34.19465156592914,-1.6182923711914996,32.57635919473764,3.6707666698069734,2.731220473119423,-0.9395461966875502,-0.15122660554185263,-0.03208405651074045,0.11914254903111218
Fe_num,Set A (FULL),RandomForest,-54.81093595412162,-7.888125828381785,46.92281012573983,3.7796828248100383,2.9714550092217142,-0.808227815588324,-0.15451006161751324,-0.13612270759381404,0.018387354023699204
Fe_num,Set A (FULL),Ridge,-73.6566636172595,-8.377043062121452,65.27962055513805,4.267693889432079,2.9678319287043253,-1.2998619607277533,-0.13837422033140984,0.017073971593434975,0.15544819192484483
Fe_num,Set A (FULL),SVR_RBF,-0.6380597731872297,-0.7470933499501217,-0.10903357676289194,2.748915447097259,2.754513049825864,0.0055976027286051,0.08733993161257123,0.06782682122007411,-0.01951311039249712
Fe_num,Set B (CORE),ElasticNet,-14.79932898539597,-1.8945378235248425,12.904791161871128,3.1526169970000204,2.714561623910508,-0.4380553730895125,-0.010037994288448036,0.11266944991052422,0.12270744419897225
Fe_num,Set B (CORE),ExtraTrees,-13.403965172134365,-2.7603882695319273,10.643576902602437,3.2884701584826597,2.791171206043537,-0.4972989524391225,-0.1925043390644427,-0.04512406778264958,0.14738027128179312
Fe_num,Set B (CORE),GradientBoosting,-42.56943366472834,-16.51309340486265,26.056340259865685,3.8035363146559797,3.155554414651155,-0.6479819000048246,-0.21492565340966777,-0.1428772458066015,0.07204840760306627
Fe_num,Set B (CORE),Lasso,-14.844695316671014,-1.6135948268830425,13.231100489787972,3.1504748979977593,2.739863017727125,-0.41061188027063444,-0.019419297361763958,-0.16436042984449495,-0.144941132482731
Fe_num,Set B (CORE),RandomForest,-39.51040350401008,-11.933040521066921,27.577362982943157,3.9151780233494873,3.0557738392923053,-0.859404184057182,-0.2790937664311487,-0.20779586307394765,0.07129790335720104
Fe_num,Set B (CORE),Ridge,-16.324419759888823,-2.7074739290197876,13.616945830869035,3.2184901875146674,2.709000509649596,-0.5094896778650715,0.017355410685634457,0.18781368752778477,0.1704582768421503
Fe_num,Set B (CORE),SVR_RBF,-0.7116121072222383,-0.8189850733752303,-0.10737296615299197,2.732713313581818,2.725678562076742,-0.007034751505075931,0.03480463440200207,0.051315727811038096,0.016511093409036025
Fe_num,Set C (pH SENSITIVITY),ElasticNet,-15.157105546804774,-1.8949113112156508,13.262194235589122,3.223337053221326,2.715507880414392,-0.5078291728069337,-0.08677705342817227,0.1021623904684104,0.18893944389658268
Fe_num,Set C (pH SENSITIVITY),ExtraTrees,-12.016434415448732,-3.101398723009721,8.91503569243901,3.1159817957640006,2.774406817479776,-0.3415749782842248,-0.15441624858678007,-0.08067920643051693,0.07373704215626314
